Date,Weekly_Avr_Cases,Location,PMMoV_Weekly_Avr,N1_Weekly_Avr,N2_Weekly_Avr
31.08.2021,,CR,,,
06.09.2021,,CR,,,
13.09.2021,,CR,,,
20.09.2021,,CR,690.7783,0,0
27.09.2021,,CR,5484.545288,0,0
04.10.2021,,CR,174411.056,0,0
11.10.2021,,CR,39608.97217,0,0
18.10.2021,,CR,,,
25.10.2021,,CR,861.91,4.155,0
01.11.2021,,CR,1640.138499,9.633725643,0
08.11.2021,,CR,23820.5955,0,0
15.11.2021,,CR,14609.03231,0,0
22.11.2021,,CR,4864.320017,0,0
29.11.2021,,CR,459.5662689,0,0
06.12.2021,,CR,,,
13.12.2021,,CR,14053.74054,0,0
20.12.2021,,CR,29762.58138,400.8858032,378.8797913
27.12.2021,,CR,132301.8197,3122.471436,2319.877686
03.01.2022,,CR,7176.040446,308.3675639,184.5508525
10.01.2022,,CR,10658.62427,31.83357366,16.03261534
17.01.2022,,CR,30913.28405,31.23128302,20.62501762
24.01.2022,,CR,26248.80497,164.0468294,121.590849
31.01.2022,,CR,236148.1761,775.5831044,433.8269284
07.02.2022,,CR,14679.17642,78.37052796,52.65264445
14.02.2022,,CR,47539.64728,60.40893389,17.49064485
21.02.2022,,CR,8868.684489,0,0
28.02.2022,,CR,26103.72835,0.700506396,0
07.03.2022,,CR,44896.9343,15.59095303,0
14.03.2022,,CR,48034.88058,3.083084248,0
21.03.2022,,CR,5338.832212,447.6633626,278.3279406
28.03.2022,,CR,3563.131222,205.3964048,92.43926675
04.04.2022,,CR,8010.076514,6825.393854,8100.94502
11.04.2022,,CR,10963.95725,472.9835727,446.8612983
18.04.2022,,CR,18107.90208,334.1093068,461.1704167
25.04.2022,,CR,7884.506158,2250.259908,2520.630595
31.08.2021,,UCE,,,
06.09.2021,,UCE,,,
13.09.2021,,UCE,,,
20.09.2021,,UCE,,,
27.09.2021,,UCE,,,
04.10.2021,,UCE,,,
11.10.2021,,UCE,9317.559814,1.830448031,0
18.10.2021,,UCE,796.1426799,1.760867954,0
25.10.2021,,UCE,366.8125389,2.927849055,0.96213007
01.11.2021,,UCE,2269.893087,0,0
08.11.2021,,UCE,2938.444316,0,0
15.11.2021,,UCE,1058.488428,1.163358768,0
22.11.2021,,UCE,517.3208014,0,0
29.11.2021,,UCE,238.7115569,0,0
06.12.2021,,UCE,189.2773692,0,0
13.12.2021,,UCE,,,
20.12.2021,,UCE,,,
27.12.2021,,UCE,,,
03.01.2022,,UCE,955.8567556,51.3778712,94.27325694
10.01.2022,,UCE,52384.67896,20.61796765,19.69216424
17.01.2022,,UCE,11023.515,27.27815835,50.38877217
24.01.2022,,UCE,,,
31.01.2022,,UCE,39917.20703,8.09187347,7.17498362
07.02.2022,,UCE,3384.53776,59.0300738,32.41083781
14.02.2022,,UCE,,,
21.02.2022,,UCE,21933.93717,0,0
28.02.2022,,UCE,15239.22081,31.91867511,47.62279256
07.03.2022,,UCE,28200.245,34.7849582,20.09870423
14.03.2022,,UCE,9532.66866,11.5131677,13.18371836
21.03.2022,,UCE,4809.782917,5.86906539,3.405583334
28.03.2022,,UCE,3427.926856,18.18356353,11.7773215
04.04.2022,,UCE,6955.295823,21.3979132,15.01989842
11.04.2022,,UCE,1482.126875,2.017285645,5.3324368
18.04.2022,,UCE,7093.730521,0.492625,1.186875
25.04.2022,,UCE,,,
31.08.2021,,UCS,,,
06.09.2021,,UCS,,,
13.09.2021,,UCS,,,
20.09.2021,,UCS,,,
27.09.2021,,UCS,2170.131353,2.171321646,0
04.10.2021,,UCS,16562.68772,0,0
11.10.2021,,UCS,2700.906932,0,0
18.10.2021,,UCS,1607.042796,7.60102558,0
25.10.2021,,UCS,430.1671987,5.020747309,3.42225
01.11.2021,,UCS,2096.234309,1.511854351,0
08.11.2021,,UCS,5540.444641,574.1639788,352.8197365
15.11.2021,,UCS,21703.95869,9.236871761,0.627057036
22.11.2021,,UCS,733.7767622,39.47344531,17.60316001
29.11.2021,,UCS,29142.49338,226.7912271,26.8289264
06.12.2021,,UCS,6153.92985,35.59777069,0.228147551
13.12.2021,,UCS,67393.15403,9.661991033,0
20.12.2021,,UCS,,,
27.12.2021,,UCS,,,
03.01.2022,,UCS,,,
10.01.2022,,UCS,24344.57194,292.3207499,92.25776418
17.01.2022,,UCS,,,
24.01.2022,,UCS,17199.25028,208.9706192,145.6469129
31.01.2022,,UCS,114055.612,55.67128277,50.09917615
07.02.2022,,UCS,18225.92723,408.1547737,182.9174201
14.02.2022,,UCS,20804.6936,83.16530308,35.85150337
21.02.2022,,UCS,115062.5647,369.8226821,713.1897588
28.02.2022,,UCS,133461.0479,964.1558333,260.5246862
07.03.2022,,UCS,,,
14.03.2022,,UCS,33912.21619,507.2541173,611.5598551
21.03.2022,,UCS,21149.72518,1039.652226,682.4247384
28.03.2022,,UCS,29870.32369,294.3803151,145.647672
04.04.2022,,UCS,18589.00497,674.1185795,454.7595393
11.04.2022,,UCS,12979.93958,674.8464457,559.3999116
18.04.2022,,UCS,9992.215625,332.0833333,176.2166667
25.04.2022,,UCS,52961.68467,1832.837207,1298.781246
31.08.2021,,UCW,,,
06.09.2021,,UCW,,,
13.09.2021,,UCW,,,
20.09.2021,,UCW,,,
27.09.2021,,UCW,1775.630849,6.142593702,0
04.10.2021,,UCW,17189.81835,17.26064237,4.8295
11.10.2021,,UCW,,,
18.10.2021,,UCW,1583.669484,4.300637245,0
25.10.2021,,UCW,543.827829,9.978083335,11.55075
01.11.2021,,UCW,2809.021022,4.974880934,0
08.11.2021,,UCW,12774.31814,0,0
15.11.2021,,UCW,4116.840159,244.5346471,291.0219307
22.11.2021,,UCW,813.1761466,2.09822158,1.140451988
29.11.2021,,UCW,1701.191483,61.19896826,37.32203643
06.12.2021,,UCW,5165.894165,47.22970406,3.580739975
13.12.2021,,UCW,,,
20.12.2021,,UCW,,,
27.12.2021,,UCW,,,
03.01.2022,,UCW,,,
10.01.2022,,UCW,16403.41431,138.630778,170.8530731
17.01.2022,,UCW,11933.0478,164.8986906,128.6175588
24.01.2022,,UCW,6370.900523,82.75775272,83.43689156
31.01.2022,,UCW,44181.87086,47.61353773,26.60585583
07.02.2022,,UCW,7937.354787,74.95685578,47.5443691
14.02.2022,,UCW,7173.41095,35.36678971,31.05726014
21.02.2022,,UCW,30424.58252,15.36721452,17.81673034
28.02.2022,,UCW,13476.43921,142.1578333,51.05933333
07.03.2022,,UCW,,,
14.03.2022,,UCW,,,
21.03.2022,,UCW,5210.087585,137.8190816,64.97942607
28.03.2022,,UCW,,,
04.04.2022,,UCW,8890.110563,36.85598268,34.62537368
11.04.2022,,UCW,,,
18.04.2022,,UCW,9679.990833,105.9057619,269.0956667
25.04.2022,,UCW,6581.288249,331.787913,265.1387075
31.08.2021,198.1416667,WWTP,9829.140833,183.6408333,311.62
06.09.2021,226.9,WWTP,33923.59375,625.7055,294.25025
13.09.2021,247.2428571,WWTP,6688.305995,448.2082723,174.0771828
20.09.2021,246.1928571,WWTP,1096.259956,417.2511648,278.4144618
27.09.2021,232.4071429,WWTP,5542.298991,352.9294586,245.2249171
04.10.2021,166.1785714,WWTP,16128.61,273.4863511,149.6844382
11.10.2021,135.3071429,WWTP,2507.286174,160.4374034,97.48324585
18.10.2021,99.57857143,WWTP,2033.737068,243.3763479,146.8253705
25.10.2021,85.25714286,WWTP,1267.65303,112.4624362,64.56869582
01.11.2021,79.84285714,WWTP,4082.634871,116.8581801,85.62582197
08.11.2021,70.07142857,WWTP,9729.893595,100.8013979,71.10379728
15.11.2021,69.66428571,WWTP,7677.087148,63.40981674,66.03155136
22.11.2021,63.36428571,WWTP,2549.735947,61.75986523,47.90193855
29.11.2021,59.42142857,WWTP,1847.713843,79.82046127,96.56434674
06.12.2021,79.47857143,WWTP,4694.143609,125.3211136,141.5583064
13.12.2021,346.0857143,WWTP,15745.40677,185.7425016,233.7364951
20.12.2021,765.6142857,WWTP,34180.97575,425.6250407,776.6704508
27.12.2021,953.1357143,WWTP,76603.04647,2536.755371,2099.623698
03.01.2022,1535.221429,WWTP,7722.53799,2642.354519,3632.718119
10.01.2022,1595.735714,WWTP,16813.66007,2418.727837,3028.080024
17.01.2022,871.3142857,WWTP,14115.69285,1666.521946,2426.348958
24.01.2022,554.5428571,WWTP,12338.28186,1335.873474,2282.042752
31.01.2022,434.7214286,WWTP,65309.91509,929.8232963,1349.091183
07.02.2022,256.55,WWTP,14312.77086,764.3046265,745.3431837
14.02.2022,156.3928571,WWTP,17640.41246,595.7768317,744.8368632
21.02.2022,109.1071429,WWTP,40206.70294,279.031278,745.9450126
28.02.2022,116.05,WWTP,28844.0066,260.3962964,296.6514708
07.03.2022,121.0214286,WWTP,21163.25886,303.9869113,282.9976085
14.03.2022,134.0571429,WWTP,13444.89149,372.0534521,726.4227136
21.03.2022,167.9571429,WWTP,10932.25145,671.5592697,1506.378982
28.03.2022,218.725,WWTP,15753.32119,859.5380646,1183.711262
04.04.2022,,WWTP,13826.64707,1054.841609,2776.986043
11.04.2022,,WWTP,11786.21705,1042.475322,2819.8514
18.04.2022,,WWTP,18319.02348,1074.996817,3728.594701
25.04.2022,,WWTP,14294.35793,1204.139872,3142.349799
31.08.2021,,YA,5653.018125,86.44266667,53.777
06.09.2021,,YA,5757.768233,8.806553285,0
13.09.2021,,YA,6228.159205,3.708117008,0
20.09.2021,,YA,1496.454926,1.18915388,0
27.09.2021,,YA,,,
04.10.2021,,YA,25386.38024,0,0
11.10.2021,,YA,3496.570638,0,0
18.10.2021,,YA,,,
25.10.2021,,YA,183.7230937,0,0
01.11.2021,,YA,2149.336408,0,0
08.11.2021,,YA,12008.09855,0,0
15.11.2021,,YA,353.1064479,0,0
22.11.2021,,YA,1106.539154,0,0
29.11.2021,,YA,1336.687876,0,0
06.12.2021,,YA,,,
13.12.2021,,YA,,,
20.12.2021,,YA,,,
27.12.2021,,YA,,,
03.01.2022,,YA,,,
10.01.2022,,YA,,,
17.01.2022,,YA,,,
24.01.2022,,YA,,,
31.01.2022,,YA,,,
07.02.2022,,YA,,,
14.02.2022,,YA,,,
21.02.2022,,YA,,,
28.02.2022,,YA,,,
07.03.2022,,YA,,,
14.03.2022,,YA,,,
21.03.2022,,YA,,,
28.03.2022,,YA,,,
04.04.2022,,YA,,,
11.04.2022,,YA,,,
18.04.2022,,YA,,,
25.04.2022,,YA,,,
